time,loaded,inserted,running,waiting,ended,arrived,collisions,teleports,halting,stopped,meanWaitingTime,meanTravelTime,meanSpeed,meanSpeedRelative,discarded,duration
0.0,9,7,7,2,0,0,0,0,0,0,0.00,-1.00,13.22,0.95,0,0
1.0,9,8,8,1,0,0,0,0,0,0,0.12,-1.00,12.54,0.90,0,0
2.0,9,8,8,1,0,0,0,0,0,0,0.12,-1.00,12.46,0.90,0,0
3.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,11.91,0.86,0,0
4.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.2,0.88,0,0
5.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.29,0.88,0,0
6.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.33,0.89,0,0
7.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.34,0.89,0,0
8.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.75,0.92,0,0
9.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.57,0.90,0,0
10.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.82,0.92,0,0
11.0,9,9,9,0,0,0,0,0,0,0,0.44,-1.00,12.68,0.91,0,0
12.0,11,11,11,0,0,0,0,0,0,0,0.36,-1.00,12.61,0.91,0,0
13.0,11,11,11,0,0,0,0,0,0,0,0.36,-1.00,12.46,0.90,0,0
14.0,11,11,11,0,0,0,0,0,0,0,0.36,-1.00,12.69,0.91,0,0
15.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,12.74,0.92,0,0
16.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,12.7,0.91,0,0
17.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,12.75,0.92,0,0
18.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,12.71,0.91,0,0
19.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,12.76,0.92,0,0
20.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,12.5,0.90,0,0
21.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,11.78,0.85,0,0
22.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,10.32,0.74,0,0
23.0,13,13,13,0,0,0,0,0,0,0,0.31,-1.00,8.14,0.59,0,0
24.0,15,15,15,0,0,0,0,0,3,0,0.27,-1.00,7.55,0.54,0,1
25.0,15,15,15,0,0,0,0,0,3,0,0.27,-1.00,6.52,0.47,0,0
26.0,15,15,15,0,0,0,0,0,3,0,0.27,-1.00,5.93,0.43,0,0
27.0,15,15,15,0,0,0,0,0,2,0,0.27,-1.00,6.25,0.45,0,0
28.0,15,15,15,0,0,0,0,0,3,0,0.27,-1.00,6.62,0.48,0,0
29.0,15,15,15,0,0,0,0,0,3,0,0.27,-1.00,7.13,0.51,0,0
30.0,17,17,17,0,0,0,0,0,3,0,0.24,-1.00,8.27,0.59,0,0
31.0,17,17,17,0,0,0,0,0,4,0,0.24,-1.00,8.52,0.61,0,0
32.0,17,17,17,0,0,0,0,0,4,0,0.24,-1.00,8.77,0.63,0,0
33.0,17,17,17,0,0,0,0,0,4,0,0.24,-1.00,9.26,0.67,0,0
34.0,17,17,17,0,0,0,0,0,4,0,0.24,-1.00,9.14,0.66,0,0
35.0,17,17,17,0,0,0,0,0,4,0,0.24,-1.00,8.89,0.64,0,0
36.0,19,19,19,0,0,0,0,0,4,0,0.21,-1.00,9.02,0.65,0,0
37.0,19,19,19,0,0,0,0,0,4,0,0.21,-1.00,8.87,0.64,0,0
38.0,19,19,19,0,0,0,0,0,5,0,0.21,-1.00,8.74,0.63,0,0
39.0,19,19,19,0,0,0,0,0,5,0,0.21,-1.00,8.45,0.61,0,0
40.0,19,19,19,0,0,0,0,0,5,0,0.21,-1.00,8.67,0.62,0,0
41.0,19,19,19,0,0,0,0,0,4,0,0.21,-1.00,8.75,0.63,0,0
42.0,19,19,19,0,0,0,0,0,5,0,0.21,-1.00,9.1,0.65,0,0
43.0,19,19,19,0,0,0,0,0,5,0,0.21,-1.00,9.13,0.66,0,0
44.0,19,19,19,0,0,0,0,0,5,0,0.21,-1.00,9.13,0.66,0,0
45.0,21,21,21,0,0,0,0,0,5,0,0.19,-1.00,9.28,0.67,0,0
46.0,21,21,21,0,0,0,0,0,5,0,0.19,-1.00,8.89,0.64,0,1
47.0,21,21,21,0,0,0,0,0,5,0,0.19,-1.00,8.7,0.63,0,0
48.0,23,23,23,0,0,0,0,0,5,0,0.17,-1.00,9.03,0.65,0,0
49.0,23,23,22,0,1,1,0,0,6,0,0.17,49.00,8.72,0.63,0,0
50.0,23,23,22,0,1,1,0,0,7,0,0.17,49.00,8.93,0.64,0,0
51.0,23,23,22,0,1,1,0,0,7,0,0.17,49.00,8.75,0.63,0,0
52.0,23,23,21,0,2,2,0,0,7,0,0.17,50.50,8.26,0.59,0,0
53.0,23,23,20,0,3,3,0,0,7,0,0.17,51.33,7.59,0.55,0,0
54.0,23,23,20,0,3,3,0,0,7,0,0.17,51.33,7.41,0.53,0,0
55.0,23,23,19,0,4,4,0,0,8,0,0.17,52.00,6.69,0.48,0,0
56.0,23,23,19,0,4,4,0,0,9,0,0.17,52.00,6.77,0.49,0,1
57.0,23,23,19,0,4,4,0,0,9,0,0.17,52.00,6.62,0.48,0,0
58.0,23,23,19,0,4,4,0,0,9,0,0.17,52.00,6.37,0.46,0,0
