lane,mean_queue_m,max_queue_m
318210357#0_3,13.99,25.21
-31050360#2_1,12.1,21.0
:101333380_7_0,16.1,20.91
:1652675105_2_0,9.79,20.0
180239858#0_0,13.9,19.97
143308549#2_1,11.52,17.89
318210367#0_2,12.19,13.56
-190083610#1_0,6.99,13.56
-190083608#1_0,6.66,13.55
318210371#1_0,6.81,13.54
190083610#0_0,6.33,13.52
143308546#3_1,4.18,13.51
190083610#0_1,6.02,13.5
318210371#1_1,5.38,13.5
-142575699#0_0,5.84,13.5
:21540774_1_0,6.72,13.41
:1560223374_2_0,5.83,13.34
:1652675105_2_1,9.0,13.34
:671564296_3_0,6.51,13.33
:21540774_1_2,7.09,13.31
:3273797701_6_0,10.51,13.3
318210361#2_1,5.77,13.15
318210361#2_0,6.17,13.11
:294139689_8_0,8.75,12.47
204721579#6_0,6.36,12.07
:1976653172_0_0,8.42,11.23
320741895#2_2,7.01,11.04
206579062#3_0,9.97,10.65
:1906766907_6_0,9.29,10.58
414563781_3,6.77,10.5
:3366620152_0_3,8.63,10.2
:3246050928_0_1,9.47,9.6
:1652675133_1_0,8.7,9.18
318210363#1_0,7.98,8.85
318210363#1_1,7.81,8.85
:1560223510_0_0,7.41,7.99
318210389#0_1,6.76,7.79
:2627346828_0_0,7.62,7.69
:1560223378_2_0,6.96,7.58
320741895#1_1,4.68,7.03
320741895#1_2,6.6,7.01
143308552#2_1,5.54,6.87
143308552#2_0,6.15,6.84
:3246050932_0_0,5.63,6.23
:3246050932_0_1,5.4,6.18
190083618#0_2,5.88,6.14
190083618#0_1,5.66,6.09
-142575672#0_0,5.46,6.09
318210389#2_2,5.46,6.09
204721579#7_0,6.0,6.08
283317455#0_0,4.54,6.08
146511452_0,5.88,6.08
143308552#3_0,5.73,6.08
190083618#2_2,5.94,6.08
-318210371#2_0,5.66,6.07
190083618#2_1,5.77,6.07
318210357#2_3,5.66,6.07
-318210371#2_1,5.67,6.07
52036180#2_0,4.02,6.06
180239858#2_0,5.76,6.06
318210389#2_1,5.72,6.06
190083608#0_0,5.72,6.06
322724391#1_2,6.0,6.06
318210363#2_0,5.75,6.06
10735918#3_2,6.0,6.06
204721579#7_1,6.0,6.06
143308552#1_0,1.72,6.06
283317455#1_0,6.0,6.05
206579058#3_0,5.7,6.05
-52080655#0_1,5.61,6.05
180239858#2_1,5.66,6.05
180239843_0,5.63,6.05
172014854#2_0,5.25,6.05
670062909#0_0,5.01,6.05
143308532#8_0,3.01,6.05
-142575672#0_1,5.84,6.04
176039655_1,2.7,6.04
113575152#12_0,5.26,6.04
48858193#0_1,4.01,6.04
46039050#7_1,3.76,6.04
143308549#4_1,5.82,6.04
