time,loaded,inserted,running,waiting,ended,arrived,collisions,teleports,halting,stopped,meanWaitingTime,meanTravelTime,meanSpeed,meanSpeedRelative,discarded,duration
0.0,2,1,1,0,0,0,0,0,1,0,0.00,-1.00,0.0,0.00,0,0
1.0,2,1,1,0,0,0,0,0,0,0,0.00,-1.00,2.45,0.29,0,0
2.0,2,1,1,0,0,0,0,0,0,0,0.00,-1.00,4.17,0.50,0,0
3.0,2,1,1,0,0,0,0,0,0,0,0.00,-1.00,6.23,0.75,0,0
4.0,53,2,2,0,0,0,0,0,1,0,0.00,-1.00,4.03,0.48,0,3
5.0,53,2,2,0,0,0,0,0,0,0,0.00,-1.00,5.11,0.58,0,0
6.0,53,2,2,0,0,0,0,0,0,0,0.00,-1.00,6.1,0.65,0,0
7.0,53,2,2,0,0,0,0,0,0,0,0.00,-1.00,7.24,0.72,0,0
8.0,53,3,3,0,0,0,0,0,1,0,0.00,-1.00,5.38,0.52,0,0
9.0,53,3,3,0,0,0,0,0,0,0,0.00,-1.00,6.78,0.62,0,0
10.0,53,3,3,0,0,0,0,0,0,0,0.00,-1.00,8.01,0.72,0,0
11.0,53,3,3,0,0,0,0,0,0,0,0.00,-1.00,9.47,0.82,0,0
12.0,53,4,4,0,0,0,0,0,1,0,0.00,-1.00,7.83,0.67,0,0
13.0,53,4,4,0,0,0,0,0,0,0,0.00,-1.00,8.69,0.74,0,0
14.0,53,4,4,0,0,0,0,0,0,0,0.00,-1.00,8.89,0.75,0,0
15.0,53,4,4,0,0,0,0,0,0,0,0.00,-1.00,8.86,0.75,0,0
16.0,53,5,5,0,0,0,0,0,1,0,0.00,-1.00,7.57,0.63,0,0
17.0,53,5,5,0,0,0,0,0,0,0,0.00,-1.00,8.12,0.66,0,0
18.0,53,5,5,0,0,0,0,0,0,0,0.00,-1.00,9.29,0.76,0,0
19.0,53,5,5,0,0,0,0,0,0,0,0.00,-1.00,10.14,0.81,0,0
20.0,53,6,6,0,0,0,0,0,1,0,0.00,-1.00,9.04,0.72,0,0
21.0,53,6,6,0,0,0,0,0,0,0,0.00,-1.00,10.25,0.81,0,0
22.0,53,6,6,0,0,0,0,0,0,0,0.00,-1.00,11.13,0.87,0,0
23.0,53,6,6,0,0,0,0,0,0,0,0.00,-1.00,11.23,0.88,0,0
24.0,53,7,7,0,0,0,0,0,1,0,0.00,-1.00,8.99,0.71,0,0
25.0,53,7,7,0,0,0,0,0,0,0,0.00,-1.00,7.76,0.64,0,0
26.0,53,7,7,0,0,0,0,0,0,0,0.00,-1.00,7.6,0.64,0,0
27.0,53,7,7,0,0,0,0,0,0,0,0.00,-1.00,7.34,0.68,0,1
28.0,53,8,8,0,0,0,0,0,1,0,0.00,-1.00,6.91,0.65,0,0
29.0,53,8,8,0,0,0,0,0,0,0,0.00,-1.00,7.61,0.70,0,0
30.0,53,8,8,0,0,0,0,0,0,0,0.00,-1.00,7.92,0.73,0,0
31.0,53,8,8,0,0,0,0,0,0,0,0.00,-1.00,7.55,0.69,0,0
32.0,53,9,9,0,0,0,0,0,1,0,0.00,-1.00,7.02,0.64,0,0
33.0,53,9,9,0,0,0,0,0,1,0,0.00,-1.00,7.33,0.64,0,0
34.0,53,9,9,0,0,0,0,0,1,0,0.00,-1.00,7.65,0.66,0,0
35.0,53,9,9,0,0,0,0,0,1,0,0.00,-1.00,8.23,0.71,0,0
36.0,53,10,10,0,0,0,0,0,2,0,0.00,-1.00,7.81,0.67,0,0
37.0,53,10,10,0,0,0,0,0,1,0,0.00,-1.00,8.23,0.71,0,0
38.0,53,10,10,0,0,0,0,0,1,0,0.00,-1.00,7.72,0.67,0,0
39.0,53,10,10,0,0,0,0,0,1,0,0.00,-1.00,7.58,0.66,0,0
40.0,53,11,11,0,0,0,0,0,2,0,0.00,-1.00,7.36,0.65,0,0
41.0,53,11,11,0,0,0,0,0,1,0,0.00,-1.00,7.98,0.71,0,0
42.0,53,11,11,0,0,0,0,0,1,0,0.00,-1.00,8.1,0.73,0,0
43.0,53,11,11,0,0,0,0,0,1,0,0.00,-1.00,8.72,0.77,0,1
