strategy,demand,seed,tag,trips_completed,mean_duration_s,mean_waiting_s,median_waiting_s,p95_waiting_s,max_waiting_s,mean_timeloss_s,mean_distance_m,duration_s,inserted,arrived,mean_running,peak_running,mean_halting,teleports,collisions,mean_queue_m,p95_queue_m,max_queue_m,demand_injected
fixed,0.8,0,fixed_d0.80_s0,336,81.4,25.1,19.0,77.5,132.0,36.2,588.0,899,365,336,32.9,42,10.4,0,0,24.72,58.01,72.58,True
fixed,0.8,1,fixed_d0.80_s1,334,79.6,24.0,18.0,68.7,114.0,34.8,588.0,899,365,334,32.2,41,9.9,0,0,23.45,51.01,72.53,True
fixed,0.8,2,fixed_d0.80_s2,334,78.9,23.3,18.0,67.3,99.0,33.7,588.1,899,365,334,31.9,41,9.6,0,0,22.94,51.01,72.53,True
fixed,1.0,0,fixed_d1.00_s0,278,72.6,18.5,13.5,56.0,65.0,27.6,588.2,899,302,278,24.3,33,6.3,0,0,16.23,43.01,50.56,True
fixed,1.0,1,fixed_d1.00_s1,280,72.7,18.8,14.0,56.0,67.0,27.8,588.2,899,302,280,24.3,33,6.3,0,0,16.1,43.01,50.54,True
fixed,1.0,2,fixed_d1.00_s2,279,72.2,18.3,13.0,55.1,65.0,27.1,588.2,899,302,279,24.1,33,6.2,0,0,16.22,43.01,50.55,True
fixed,1.2,0,fixed_d1.20_s0,225,73.2,19.3,13.0,60.0,65.0,28.0,588.2,899,241,225,19.7,26,5.3,0,0,13.82,35.5,43.05,True
fixed,1.2,1,fixed_d1.20_s1,225,73.1,19.5,15.0,60.8,65.0,28.3,588.1,899,241,225,19.6,26,5.3,0,0,13.97,36.01,43.1,True
fixed,1.2,2,fixed_d1.20_s2,225,73.4,19.5,16.0,60.0,65.0,28.3,588.2,899,241,225,19.7,26,5.4,0,0,13.88,36.01,43.06,True
timed,0.8,0,timed_d0.80_s0,328,76.6,20.6,15.0,60.2,106.0,31.5,587.7,899,365,328,31.4,40,8.9,0,0,21.18,50.51,72.56,True
timed,0.8,1,timed_d0.80_s1,330,73.5,18.6,15.0,48.0,81.0,28.7,587.7,899,365,330,30.1,38,8.0,0,0,18.58,43.51,65.04,True
timed,0.8,2,timed_d0.80_s2,331,73.4,18.3,15.0,47.0,72.0,28.3,587.8,899,365,331,29.9,37,7.7,0,0,18.12,43.51,65.01,True
timed,1.0,0,timed_d1.00_s0,277,68.6,14.6,11.0,43.2,47.0,23.6,587.8,899,302,277,23.1,30,5.0,0,0,13.0,35.5,43.04,True
timed,1.0,1,timed_d1.00_s1,277,68.0,14.3,10.0,43.0,49.0,23.2,587.8,899,302,277,22.8,30,4.9,0,0,12.97,35.5,43.07,True
